"행정구역","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0~4세","2026년06월_계_5~9세","2026년06월_계_10~14세","2026년06월_계_15~19세","2026년06월_계_20~24세","2026년06월_계_25~29세","2026년06월_계_30~34세","2026년06월_계_35~39세","2026년06월_계_40~44세","2026년06월_계_45~49세","2026년06월_계_50~54세","2026년06월_계_55~59세","2026년06월_계_60~64세","2026년06월_계_65~69세","2026년06월_계_70~74세","2026년06월_계_75~79세","2026년06월_계_80~84세","2026년06월_계_85~89세","2026년06월_계_90~94세","2026년06월_계_95~99세","2026년06월_계_100세 이상","2026년06월_남_총인구수","2026년06월_남_연령구간인구수","2026년06월_남_0~4세","2026년06월_남_5~9세","2026년06월_남_10~14세","2026년06월_남_15~19세","2026년06월_남_20~24세","2026년06월_남_25~29세","2026년06월_남_30~34세","2026년06월_남_35~39세","2026년06월_남_40~44세","2026년06월_남_45~49세","2026년06월_남_50~54세","2026년06월_남_55~59세","2026년06월_남_60~64세","2026년06월_남_65~69세","2026년06월_남_70~74세","2026년06월_남_75~79세","2026년06월_남_80~84세","2026년06월_남_85~89세","2026년06월_남_90~94세","2026년06월_남_95~99세","2026년06월_남_100세 이상","2026년06월_여_총인구수","2026년06월_여_연령구간인구수","2026년06월_여_0~4세","2026년06월_여_5~9세","2026년06월_여_10~14세","2026년06월_여_15~19세","2026년06월_여_20~24세","2026년06월_여_25~29세","2026년06월_여_30~34세","2026년06월_여_35~39세","2026년06월_여_40~44세","2026년06월_여_45~49세","2026년06월_여_50~54세","2026년06월_여_55~59세","2026년06월_여_60~64세","2026년06월_여_65~69세","2026년06월_여_70~74세","2026년06월_여_75~79세","2026년06월_여_80~84세","2026년06월_여_85~89세","2026년06월_여_90~94세","2026년06월_여_95~99세","2026년06월_여_100세 이상"
"부산광역시 수영구 (2650000000)","168,440","168,440","3,180","4,022","5,738","5,668","7,080","11,878","12,771","10,187","10,914","11,860","12,550","13,406","12,631","14,761","12,193","9,073","5,854","3,307","1,101","240","26","78,874","78,874","1,619","2,040","2,998","2,893","3,326","5,551","6,533","5,142","5,427","5,818","6,005","6,306","5,625","6,357","5,270","3,835","2,488","1,284","293","62","2","89,566","89,566","1,561","1,982","2,740","2,775","3,754","6,327","6,238","5,045","5,487","6,042","6,545","7,100","7,006","8,404","6,923","5,238","3,366","2,023","808","178","24"
"부산광역시 사상구 (2653000000)","192,475","192,475","2,989","4,080","6,308","6,880","8,993","11,631","12,469","9,933","10,951","12,652","14,480","18,197","19,576","20,661","14,233","9,442","5,226","2,747","865","139","23","96,004","96,004","1,574","2,132","3,184","3,479","4,602","5,980","6,853","5,430","5,792","6,686","7,430","8,924","9,738","10,063","6,683","4,242","2,125","888","180","17","2","96,471","96,471","1,415","1,948","3,124","3,401","4,391","5,651","5,616","4,503","5,159","5,966","7,050","9,273","9,838","10,598","7,550","5,200","3,101","1,859","685","122","21"
"부산광역시 기장군 (2671000000)","175,262","175,262","4,721","7,287","10,818","9,266","6,589","7,870","9,835","10,378","14,264","16,734","15,067","13,322","11,528","12,478","9,806","7,075","4,524","2,559","923","186","32","86,901","86,901","2,395","3,760","5,542","4,772","3,601","4,195","5,253","5,264","7,094","8,487","7,736","6,819","5,660","5,749","4,432","3,170","1,868","855","221","25","3","88,361","88,361","2,326","3,527","5,276","4,494","2,988","3,675","4,582","5,114","7,170","8,247","7,331","6,503","5,868","6,729","5,374","3,905","2,656","1,704","702","161","29"
"대구광역시  (2700000000)","2,348,165","2,348,165","55,078","75,845","105,722","107,071","111,523","135,735","150,010","135,811","155,277","176,529","196,556","211,852","195,154","186,705","135,773","95,081","62,687","38,708","14,118","2,623","307","1,149,388","1,149,388","28,249","38,982","53,992","54,943","58,329","71,213","79,693","72,499","78,506","87,487","96,034","102,996","94,269","88,179","61,278","41,043","24,614","12,816","3,762","458","46","1,198,777","1,198,777","26,829","36,863","51,730","52,128","53,194","64,522","70,317","63,312","76,771","89,042","100,522","108,856","100,885","98,526","74,495","54,038","38,073","25,892","10,356","2,165","261"
"대구광역시 중구 (2711000000)","101,754","101,754","4,226","3,952","3,911","3,701","5,475","8,143","9,834","8,700","7,905","7,111","7,380","6,906","5,699","5,645","4,532","3,651","2,650","1,582","613","119","19","48,626","48,626","2,186","2,032","1,931","1,828","2,402","3,776","4,821","4,552","4,169","3,560","3,517","3,396","2,709","2,572","1,940","1,468","1,037","529","175","23","3","53,128","53,128","2,040","1,920","1,980","1,873","3,073","4,367","5,013","4,148","3,736","3,551","3,863","3,510","2,990","3,073","2,592","2,183","1,613","1,053","438","96","16"
"대구광역시 동구 (2714000000)","338,476","338,476","8,462","10,203","12,948","13,042","14,026","18,964","23,472","20,883","21,907","24,229","26,696","28,865","27,871","28,628","22,266","16,066","10,727","6,481","2,300","392","48","165,217","165,217","4,382","5,260","6,567","6,809","7,432","9,778","12,369","11,351","11,408","12,230","13,318","14,034","13,250","13,134","9,860","6,895","4,230","2,193","641","68","8","173,259","173,259","4,080","4,943","6,381","6,233","6,594","9,186","11,103","9,532","10,499","11,999","13,378","14,831","14,621","15,494","12,406","9,171","6,497","4,288","1,659","324","40"
"대구광역시 서구 (2717000000)","163,508","163,508","3,248","3,556","4,710","5,021","5,697","8,541","10,736","8,869","9,235","10,228","12,479","15,613","16,836","16,684","12,810","8,865","5,776","3,292","1,090","199","23","80,849","80,849","1,679","1,831","2,369","2,504","3,083","4,479","5,893","5,043","5,074","5,447","6,535","7,810","8,306","7,832","5,572","3,822","2,229","1,057","260","23","1","82,659","82,659","1,569","1,725","2,341","2,517","2,614","4,062","4,843","3,826","4,161","4,781","5,944","7,803","8,530","8,852","7,238","5,043","3,547","2,235","830","176","22"
"대구광역시 남구 (2720000000)","141,344","141,344","2,746","2,833","3,805","4,641","7,004","9,353","10,432","8,003","8,280","9,002","10,988","12,319","11,735","12,376","10,097","7,556","5,228","3,421","1,266","235","24","67,179","67,179","1,406","1,479","1,949","2,293","3,316","4,410","5,433","4,466","4,264","4,494","5,404","6,092","5,553","5,583","4,386","3,114","1,981","1,146","368","39","3","74,165","74,165","1,340","1,354","1,856","2,348","3,688","4,943","4,999","3,537","4,016","4,508","5,584","6,227","6,182","6,793","5,711","4,442","3,247","2,275","898","196","21"
"대구광역시 북구 (2723000000)","406,915","406,915","8,731","12,224","17,912","19,588","23,930","25,776","25,480","22,218","25,380","30,191","36,747","38,873","33,996","31,107","21,185","14,891","10,126","6,023","2,070","413","54","201,176","201,176","4,488","6,273","9,163","9,976","12,636","14,038","13,859","11,991","12,928","14,883","17,785","19,207","16,591","15,060","9,602","6,293","3,865","1,942","530","60","6","205,739","205,739","4,243","5,951","8,749","9,612","11,294","11,738","11,621","10,227","12,452","15,308","18,962","19,666","17,405","16,047","11,583","8,598","6,261","4,081","1,540","353","48"
"대구광역시 수성구 (2726000000)","408,147","408,147","8,686","15,527","23,846","23,170","19,773","21,688","21,464","21,442","28,400","34,159","36,444","37,230","30,975","28,668","21,298","15,346","10,288","6,576","2,619","486","62","195,878","195,878","4,425","8,023","12,351","12,064","10,660","11,378","11,041","10,546","13,217","16,073","16,890","17,653","14,742","13,324","9,595","6,529","4,156","2,325","771","106","9","212,269","212,269","4,261","7,504","11,495","11,106","9,113","10,310","10,423","10,896","15,183","18,086","19,554","19,577","16,233","15,344","11,703","8,817","6,132","4,251","1,848","380","53"
"대구광역시 달서구 (2729000000)","513,399","513,399","10,958","15,568","23,379","25,074","26,018","30,665","32,700","28,316","32,414","38,499","44,185","49,118","45,394","41,748","28,757","18,711","11,619","7,193","2,571","464","48","251,013","251,013","5,642","8,011","11,851","12,801","13,470","16,196","17,570","15,276","16,236","18,750","21,267","23,372","21,678","19,752","13,159","8,253","4,607","2,366","657","87","12","262,386","262,386","5,316","7,557","11,528","12,273","12,548","14,469","15,130","13,040","16,178","19,749","22,918","25,746","23,716","21,996","15,598","10,458","7,012","4,827","1,914","377","36"
"대구광역시 달성군 (2771000000)","252,000","252,000","7,801","11,757","14,873","12,374","9,211","12,085","15,294","16,830","21,068","22,175","20,275","20,779","19,756","18,424","12,161","7,994","4,757","3,006","1,120","234","26","127,656","127,656","3,925","5,940","7,622","6,415","5,108","6,850","8,340","8,952","10,833","11,508","10,539","10,207","9,815","9,048","5,777","3,689","1,909","892","249","34","4","124,344","124,344","3,876","5,817","7,251","5,959","4,103","5,235","6,954","7,878","10,235","10,667","9,736","10,572","9,941","9,376","6,384","4,305","2,848","2,114","871","200","22"
"대구광역시 군위군 (2772000000)","22,622","22,622","220","225","338","460","389","520","598","550","688","935","1,362","2,149","2,892","3,425","2,667","2,001","1,516","1,134","469","81","3","11,794","11,794","116","133","189","253","222","308","367","322","377","542","779","1,225","1,625","1,874","1,387","980","600","366","111","18","0","10,828","10,828","104","92","149","207","167","212","231","228","311","393","583","924","1,267","1,551","1,280","1,021","916","768","358","63","3"
"인천광역시  (2800000000)","3,061,002","3,061,002","84,300","102,243","136,779","139,251","138,247","192,745","227,079","206,476","229,447","243,534","252,263","262,048","247,797","231,634","147,498","96,747","64,582","38,617","15,538","3,631","546","1,528,323","1,528,323","43,181","52,602","69,948","71,321","71,021","99,439","119,231","107,361","118,607","125,393","127,942","129,324","122,607","113,393","69,953","43,852","26,048","12,569","3,780","668","83","1,532,679","1,532,679","41,119","49,641","66,831","67,930","67,226","93,306","107,848","99,115","110,840","118,141","124,321","132,724","125,190","118,241","77,545","52,895","38,534","26,048","11,758","2,963","463"
"인천광역시 중구 (2811000000)","179,030","179,030","6,068","6,720","8,387","7,814","7,913","14,092","15,597","13,818","14,625","15,118","14,411","13,141","11,226","10,693","7,615","5,277","3,570","1,966","756","189","34","92,632","92,632","3,119","3,516","4,248","3,959","3,816","7,283","8,423","7,546","7,833","8,087","7,979","7,147","5,869","5,348","3,664","2,408","1,496","668","180","35","8","86,398","86,398","2,949","3,204","4,139","3,855","4,097","6,809","7,174","6,272","6,792","7,031","6,432","5,994","5,357","5,345","3,951","2,869","2,074","1,298","576","154","26"
"인천광역시 중구영종출장소 (2811400000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 중구용유출장소 (2811800000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 동구 (2814000000)","57,926","57,926","1,123","1,263","1,934","2,309","2,251","3,022","3,459","3,123","3,576","4,489","4,918","4,893","4,685","5,328","4,213","3,207","2,289","1,261","471","100","12","28,964","28,964","550","664","1,043","1,200","1,169","1,589","1,879","1,682","1,919","2,431","2,603","2,557","2,366","2,563","1,904","1,366","948","427","91","9","4","28,962","28,962","573","599","891","1,109","1,082","1,433","1,580","1,441","1,657","2,058","2,315","2,336","2,319","2,765","2,309","1,841","1,341","834","380","91","8"
"인천광역시 미추홀구 (2817700000)","418,211","418,211","10,895","11,962","15,497","16,967","20,861","27,489","31,044","27,672","30,251","32,025","34,008","34,619","32,629","32,552","22,804","16,323","11,253","6,334","2,399","549","78","210,370","210,370","5,616","6,136","7,899","8,790","10,891","14,614","16,617","14,805","16,256","17,054","17,658","17,508","16,017","15,428","10,401","7,199","4,540","2,166","648","117","10","207,841","207,841","5,279","5,826","7,598","8,177","9,970","12,875","14,427","12,867","13,995","14,971","16,350","17,111","16,612","17,124","12,403","9,124","6,713","4,168","1,751","432","68"
"인천광역시 연수구 (2818500000)","410,290","410,290","13,791","18,479","24,651","22,888","19,924","24,288","28,264","28,924","35,023","35,987","35,014","33,177","29,873","25,501","14,600","8,632","5,706","3,583","1,540","378","67","203,014","203,014","7,076","9,400","12,521","11,758","10,292","12,524","14,400","14,092","17,123","17,816","17,221","16,229","14,634","12,831","7,267","3,873","2,400","1,120","353","79","5","207,276","207,276","6,715","9,079","12,130","11,130","9,632","11,764","13,864","14,832","17,900","18,171","17,793","16,948","15,239","12,670","7,333","4,759","3,306","2,463","1,187","299","62"
"인천광역시 남동구 (2820000000)","479,149","479,149","9,280","13,354","21,158","22,775","22,205","30,811","33,425","27,355","32,866","39,000","41,058","42,965","40,607","39,400","25,703","16,723","10,939","6,426","2,425","587","87","237,498","237,498","4,718","6,878","10,987","11,670","11,329","15,874","18,071","14,414","16,805","19,802","20,879","20,906","19,863","18,806","11,881","7,551","4,312","2,059","579","101","13","241,651","241,651","4,562","6,476","10,171","11,105","10,876","14,937","15,354","12,941","16,061","19,198","20,179","22,059","20,744","20,594","13,822","9,172","6,627","4,367","1,846","486","74"
"인천광역시 부평구 (2823700000)","488,191","488,191","12,151","13,435","18,046","19,895","20,901","31,836","39,701","34,049","34,099","35,897","39,012","43,350","42,494","39,990","25,393","16,665","11,092","6,814","2,677","615","79","239,577","239,577","6,305","6,933","9,188","10,312","10,642","15,861","20,659","17,824","17,634","18,205","19,125","20,583","20,621","19,161","11,656","7,450","4,443","2,185","675","105","10","248,614","248,614","5,846","6,502","8,858","9,583","10,259","15,975","19,042","16,225","16,465","17,692","19,887","22,767","21,873","20,829","13,737","9,215","6,649","4,629","2,002","510","69"
"인천광역시 계양구 (2824500000)","276,309","276,309","5,129","6,383","9,457","11,531","12,379","17,959","20,515","16,576","17,364","19,476","23,498","28,229","28,966","25,309","14,013","8,358","5,673","3,574","1,503","356","61","137,337","137,337","2,579","3,284","4,789","5,801","6,381","9,465","10,920","8,843","9,130","9,901","11,651","13,382","14,242","12,658","6,874","3,840","2,106","1,074","342","68","7","138,972","138,972","2,550","3,099","4,668","5,730","5,998","8,494","9,595","7,733","8,234","9,575","11,847","14,847","14,724","12,651","7,139","4,518","3,567","2,500","1,161","288","54"
"인천광역시 서구 (2826000000)","662,875","662,875","24,462","29,042","35,328","32,358","28,946","39,973","51,830","51,832","57,806","56,724","54,463","53,949","47,539","41,196","24,441","15,134","9,347","5,533","2,322","561","89","332,995","332,995","12,502","14,974","18,071","16,421","14,796","20,180","26,350","26,389","29,850","29,420","27,513","26,912","23,910","20,684","11,877","7,008","3,769","1,735","519","96","19","329,880","329,880","11,960","14,068","17,257","15,937","14,150","19,793","25,480","25,443","27,956","27,304","26,950","27,037","23,629","20,512","12,564","8,126","5,578","3,798","1,803","465","70"
"인천광역시 서구검단출장소 (2826500000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 강화군 (2871000000)","69,681","69,681","1,166","1,344","1,954","2,225","1,932","2,158","2,382","2,423","3,044","3,774","4,575","5,998","7,543","9,179","6,846","5,205","3,879","2,609","1,201","220","24","34,911","34,911","606","687","998","1,152","1,053","1,248","1,293","1,309","1,558","2,014","2,511","3,091","3,832","4,560","3,447","2,546","1,662","954","339","45","6","34,770","34,770","560","657","956","1,073","879","910","1,089","1,114","1,486","1,760","2,064","2,907","3,711","4,619","3,399","2,659","2,217","1,655","862","175","18"
"인천광역시 옹진군 (2872000000)","19,340","19,340","235","261","367","489","935","1,117","862","704","793","1,044","1,306","1,727","2,235","2,486","1,870","1,223","834","517","244","76","15","11,025","11,025","110","130","204","258","652","801","619","457","499","663","802","1,009","1,253","1,354","982","611","372","181","54","13","1","8,315","8,315","125","131","163","231","283","316","243","247","294","381","504","718","982","1,132","888","612","462","336","190","63","14"
"광주광역시  (2900000000)","1,385,460","1,385,460","34,414","49,013","69,417","73,468","74,855","91,087","94,592","79,311","98,083","111,594","119,619","119,901","101,991","94,483","63,098","49,413","33,078","19,119","7,122","1,610","192","683,328","683,328","17,507","25,039","35,636","37,890","39,037","47,643","49,697","40,939","49,470","55,201","59,454","59,297","49,905","44,271","28,727","21,333","13,531","6,570","1,869","286","26","702,132","702,132","16,907","23,974","33,781","35,578","35,818","43,444","44,895","38,372","48,613","56,393","60,165","60,604","52,086","50,212","34,371","28,080","19,547","12,549","5,253","1,324","166"
"광주광역시 동구 (2911000000)","105,200","105,200","3,081","3,454","3,902","3,859","6,009","7,391","7,730","6,550","7,071","6,989","7,458","7,854","7,518","7,956","6,102","5,219","3,799","2,294","772","179","13","51,441","51,441","1,585","1,771","2,009","1,940","2,992","3,725","3,948","3,409","3,637","3,650","3,781","3,936","3,594","3,694","2,735","2,210","1,616","912","249","45","3","53,759","53,759","1,496","1,683","1,893","1,919","3,017","3,666","3,782","3,141","3,434","3,339","3,677","3,918","3,924","4,262","3,367","3,009","2,183","1,382","523","134","10"
"광주광역시 서구 (2914000000)","274,624","274,624","5,728","8,570","12,550","13,795","14,999","19,806","19,180","14,941","18,434","21,581","24,125","25,035","20,793","19,426","13,138","10,114","6,777","3,783","1,479","326","44","134,238","134,238","2,909","4,461","6,582","7,213","7,752","10,162","10,111","7,767","9,149","10,501","11,587","12,222","10,004","8,923","5,940","4,347","2,798","1,316","423","67","4","140,386","140,386","2,819","4,109","5,968","6,582","7,247","9,644","9,069","7,174","9,285","11,080","12,538","12,813","10,789","10,503","7,198","5,767","3,979","2,467","1,056","259","40"
"광주광역시 남구 (2915500000)","205,647","205,647","4,573","7,668","11,705","11,252","9,680","11,109","12,008","10,732","14,890","16,937","16,563","16,072","14,707","15,630","11,314","9,435","6,124","3,590","1,314","300","44","98,098","98,098","2,351","3,859","5,805","5,592","4,988","5,640","6,089","5,362","7,203","8,297","8,244","7,637","6,734","6,985","4,975","4,043","2,555","1,324","352","55","8","107,549","107,549","2,222","3,809","5,900","5,660","4,692","5,469","5,919","5,370","7,687","8,640","8,319","8,435","7,973","8,645","6,339","5,392","3,569","2,266","962","245","36"
"광주광역시 북구 (2917000000)","416,783","416,783","10,675","14,439","19,219","20,087","21,756","26,443","28,801","24,788","29,125","31,650","34,341","36,240","32,661","31,011","20,630","15,822","10,442","5,887","2,216","496","54","205,951","205,951","5,491","7,363","9,865","10,575","11,428","13,976","15,067","12,812","15,045","15,829","17,190","17,789","15,789","14,442","9,434","6,939","4,265","2,000","572","74","6","210,832","210,832","5,184","7,076","9,354","9,512","10,328","12,467","13,734","11,976","14,080","15,821","17,151","18,451","16,872","16,569","11,196","8,883","6,177","3,887","1,644","422","48"
"광주광역시 광산구 (2920000000)","383,206","383,206","10,357","14,882","22,041","24,475","22,411","26,338","26,873","22,300","28,563","34,437","37,132","34,700","26,312","20,460","11,914","8,823","5,936","3,565","1,341","309","37","193,600","193,600","5,171","7,585","11,375","12,570","11,877","14,140","14,482","11,589","14,436","16,924","18,652","17,713","13,784","10,227","5,643","3,794","2,297","1,018","273","45","5","189,606","189,606","5,186","7,297","10,666","11,905","10,534","12,198","12,391","10,711","14,127","17,513","18,480","16,987","12,528","10,233","6,271","5,029","3,639","2,547","1,068","264","32"
"대전광역시  (3000000000)","1,442,034","1,442,034","38,283","46,777","65,286","70,541","81,978","103,505","107,089","89,678","97,811","109,025","118,907","122,808","105,049","104,136","71,743","48,101","32,571","19,301","7,612","1,622","211","718,127","718,127","19,752","23,987","33,630","35,922","42,046","54,590","57,212","47,591","49,723","54,225","59,214","61,214","51,774","49,833","33,466","21,603","13,304","6,691","2,002","314","34","723,907","723,907","18,531","22,790","31,656","34,619","39,932","48,915","49,877","42,087","48,088","54,800","59,693","61,594","53,275","54,303","38,277","26,498","19,267","12,610","5,610","1,308","177"
"대전광역시 동구 (3011000000)","218,251","218,251","5,119","5,615","8,076","10,610","14,425","13,236","13,696","11,632","13,347","15,335","17,617","18,501","16,835","18,310","13,589","9,646","6,893","4,009","1,432","294","34","109,888","109,888","2,624","2,958","4,193","5,259","7,519","7,214","7,402","6,397","7,097","7,915","9,245","9,672","8,492","8,761","6,294","4,222","2,834","1,359","364","60","7","108,363","108,363","2,495","2,657","3,883","5,351","6,906","6,022","6,294","5,235","6,250","7,420","8,372","8,829","8,343","9,549","7,295","5,424","4,059","2,650","1,068","234","27"
"대전광역시 중구 (3014000000)","224,273","224,273","4,864","6,528","9,098","10,177","10,648","13,983","14,296","12,046","13,709","16,728","18,798","19,562","17,296","18,086","14,015","10,552","7,398","4,395","1,710","335","49","109,505","109,505","2,456","3,297","4,662","5,197","5,326","6,904","7,373","6,290","6,944","8,382","9,532","9,868","8,629","8,565","6,337","4,560","3,017","1,592","508","57","9","114,768","114,768","2,408","3,231","4,436","4,980","5,322","7,079","6,923","5,756","6,765","8,346","9,266","9,694","8,667","9,521","7,678","5,992","4,381","2,803","1,202","278","40"
"대전광역시 서구 (3017000000)","464,359","464,359","11,875","15,204","22,683","23,478","26,344","36,365","36,995","29,516","32,600","36,164","38,330","38,571","32,191","31,700","21,362","13,966","9,036","5,337","2,114","473","55","227,413","227,413","6,141","7,800","11,706","11,967","12,910","18,383","19,424","15,314","16,150","17,593","18,592","18,639","15,460","14,829","9,930","6,317","3,728","1,888","537","98","7","236,946","236,946","5,734","7,404","10,977","11,511","13,434","17,982","17,571","14,202","16,450","18,571","19,738","19,932","16,731","16,871","11,432","7,649","5,308","3,449","1,577","375","48"
"대전광역시 유성구 (3020000000)","371,104","371,104","13,005","15,512","19,501","19,108","22,502","29,759","31,445","27,800","28,651","29,491","29,929","29,145","23,690","21,234","13,099","7,589","4,891","3,035","1,369","307","42","188,103","188,103","6,765","7,980","10,027","9,764","11,885","16,459","17,045","14,674","14,434","14,481","14,705","14,394","11,661","10,401","6,394","3,636","2,003","1,006","323","59","7","183,001","183,001","6,240","7,532","9,474","9,344","10,617","13,300","14,400","13,126","14,217","15,010","15,224","14,751","12,029","10,833","6,705","3,953","2,888","2,029","1,046","248","35"
"대전광역시 대덕구 (3023000000)","164,047","164,047","3,420","3,918","5,928","7,168","8,059","10,162","10,657","8,684","9,504","11,307","14,233","17,029","15,037","14,806","9,678","6,348","4,353","2,525","987","213","31","83,218","83,218","1,766","1,952","3,042","3,735","4,406","5,630","5,968","4,916","5,098","5,854","7,140","8,641","7,532","7,277","4,511","2,868","1,722","846","270","40","4","80,829","80,829","1,654","1,966","2,886","3,433","3,653","4,532","4,689","3,768","4,406","5,453","7,093","8,388","7,505","7,529","5,167","3,480","2,631","1,679","717","173","27"
"울산광역시  (3100000000)","1,087,089","1,087,089","27,190","37,979","54,901","53,911","44,183","62,547","71,166","65,766","78,539","88,588","92,435","103,014","95,309","86,475","55,945","34,063","19,599","10,746","3,884","748","101","560,549","560,549","13,915","19,425","28,274","28,341","25,166","36,465","40,299","35,851","40,813","46,230","46,456","51,292","49,058","42,959","27,127","16,243","8,126","3,501","879","119","10","526,540","526,540","13,275","18,554","26,627","25,570","19,017","26,082","30,867","29,915","37,726","42,358","45,979","51,722","46,251","43,516","28,818","17,820","11,473","7,245","3,005","629","91"
"울산광역시 중구 (3111000000)","203,026","203,026","4,617","6,631","9,370","9,394","7,325","10,939","12,769","11,732","13,789","15,616","16,685","19,219","18,798","17,851","12,390","7,863","4,643","2,432","802","148","13","102,582","102,582","2,399","3,402","4,841","4,979","4,212","6,144","7,067","6,264","7,148","8,102","8,310","9,361","9,468","8,564","5,748","3,596","1,917","835","207","17","1","100,444","100,444","2,218","3,229","4,529","4,415","3,113","4,795","5,702","5,468","6,641","7,514","8,375","9,858","9,330","9,287","6,642","4,267","2,726","1,597","595","131","12"
"울산광역시 남구 (3114000000)","304,337","304,337","7,521","10,079","14,045","13,847","13,377","19,965","22,968","19,755","21,269","23,193","25,429","29,600","26,391","23,489","15,294","9,256","5,087","2,676","920","147","29","155,882","155,882","3,907","5,153","7,256","7,309","7,542","11,497","13,001","10,802","10,984","11,841","12,228","14,577","13,336","11,421","7,363","4,333","2,136","925","240","28","3","148,455","148,455","3,614","4,926","6,789","6,538","5,835","8,468","9,967","8,953","10,285","11,352","13,201","15,023","13,055","12,068","7,931","4,923","2,951","1,751","680","119","26"
"울산광역시 동구 (3117000000)","147,756","147,756","3,219","5,289","8,236","7,918","5,788","8,078","8,231","8,531","12,378","13,402","12,036","11,939","11,913","13,140","8,546","4,973","2,490","1,175","394","64","16","77,387","77,387","1,620","2,708","4,181","4,218","3,255","4,685","4,856","4,817","6,637","7,323","6,565","6,061","5,855","6,270","4,223","2,525","1,110","388","82","8","0","70,369","70,369","1,599","2,581","4,055","3,700","2,533","3,393","3,375","3,714","5,741","6,079","5,471","5,878","6,058","6,870","4,323","2,448","1,380","787","312","56","16"
"울산광역시 북구 (3120000000)","213,685","213,685","6,717","9,601","13,378","12,132","8,232","12,195","14,777","14,478","17,590","19,676","18,045","19,668","17,641","13,178","7,346","4,333","2,558","1,439","554","133","14","111,316","111,316","3,456","4,887","6,925","6,316","4,777","7,484","8,388","7,840","8,868","10,204","9,071","9,546","9,392","6,886","3,631","2,044","1,050","430","99","19","3","102,369","102,369","3,261","4,714","6,453","5,816","3,455","4,711","6,389","6,638","8,722","9,472","8,974","10,122","8,249","6,292","3,715","2,289","1,508","1,009","455","114","11"
"울산광역시 울주군 (3171000000)","218,285","218,285","5,116","6,379","9,872","10,620","9,461","11,370","12,421","11,270","13,513","16,701","20,240","22,588","20,566","18,817","12,369","7,638","4,821","3,024","1,214","256","29","113,382","113,382","2,533","3,275","5,071","5,519","5,380","6,655","6,987","6,128","7,176","8,760","10,282","11,747","11,007","9,818","6,162","3,745","1,913","923","251","47","3","104,903","104,903","2,583","3,104","4,801","5,101","4,081","4,715","5,434","5,142","6,337","7,941","9,958","10,841","9,559","8,999","6,207","3,893","2,908","2,101","963","209","26"
"세종특별자치시  (3600000000)","390,923","390,923","15,409","21,907","28,586","25,638","17,409","18,763","26,669","30,209","36,986","38,678","33,490","26,659","20,649","19,154","12,625","7,833","5,096","3,262","1,504","362","35","194,731","194,731","7,779","11,188","14,636","12,864","9,238","9,454","13,243","14,941","17,932","19,043","17,368","13,800","10,427","9,347","6,157","3,682","2,113","1,093","357","62","7","196,192","196,192","7,630","10,719","13,950","12,774","8,171","9,309","13,426","15,268","19,054","19,635","16,122","12,859","10,222","9,807","6,468","4,151","2,983","2,169","1,147","300","28"
"세종특별자치시  (3611000000)","390,923","390,923","15,409","21,907","28,586","25,638","17,409","18,763","26,669","30,209","36,986","38,678","33,490","26,659","20,649","19,154","12,625","7,833","5,096","3,262","1,504","362","35","194,731","194,731","7,779","11,188","14,636","12,864","9,238","9,454","13,243","14,941","17,932","19,043","17,368","13,800","10,427","9,347","6,157","3,682","2,113","1,093","357","62","7","196,192","196,192","7,630","10,719","13,950","12,774","8,171","9,309","13,426","15,268","19,054","19,635","16,122","12,859","10,222","9,807","6,468","4,151","2,983","2,169","1,147","300","28"
"경기도  (4100000000)","13,761,783","13,761,783","388,724","484,197","656,894","669,269","645,494","880,591","1,010,347","927,166","1,045,059","1,122,543","1,173,608","1,185,329","1,041,111","955,570","620,103","408,537","286,182","175,743","68,139","15,062","2,115","6,908,300","6,908,300","199,202","247,793","335,201","342,315","334,698","462,082","536,143","480,602","536,264","571,074","593,186","592,186","524,598","472,107","295,959","184,410","117,334","61,244","18,474","3,012","416","6,853,483","6,853,483","189,522","236,404","321,693","326,954","310,796","418,509","474,204","446,564","508,795","551,469","580,422","593,143","516,513","483,463","324,144","224,127","168,848","114,499","49,665","12,050","1,699"
"북부출장소  (4110500000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
