"행정구역","2026년06월_총인구수","2026년06월_세대수","2026년06월_세대당 인구","2026년06월_남자 인구수","2026년06월_여자 인구수","2026년06월_남여 비율"
"대구광역시 달서구 (2729000000)","513,399","239,961","          2.14","251,013","262,386","          0.96"
"대구광역시 달성군 (2771000000)","252,000","113,898","          2.21","127,656","124,344","          1.03"
"대구광역시 군위군 (2772000000)","22,622","13,534","          1.67","11,794","10,828","          1.09"
"인천광역시  (2800000000)","3,061,002","1,414,018","          2.16","1,528,323","1,532,679","          1.00"
"인천광역시 중구 (2811000000)","179,030","90,359","          1.98","92,632","86,398","          1.07"
"인천광역시 중구영종출장소 (2811400000)","0","0","          0.00","0","0","          0.00"
"인천광역시 중구용유출장소 (2811800000)","0","0","          0.00","0","0","          0.00"
"인천광역시 동구 (2814000000)","57,926","28,124","          2.06","28,964","28,962","          1.00"
"인천광역시 미추홀구 (2817700000)","418,211","207,277","          2.02","210,370","207,841","          1.01"
"인천광역시 연수구 (2818500000)","410,290","169,419","          2.42","203,014","207,276","          0.98"
"인천광역시 남동구 (2820000000)","479,149","227,197","          2.11","237,498","241,651","          0.98"
"인천광역시 부평구 (2823700000)","488,191","226,813","          2.15","239,577","248,614","          0.96"
"인천광역시 계양구 (2824500000)","276,309","129,215","          2.14","137,337","138,972","          0.99"
"인천광역시 서구 (2826000000)","662,875","287,080","          2.31","332,995","329,880","          1.01"
"인천광역시 서구검단출장소 (2826500000)","0","0","          0.00","0","0","          0.00"
"인천광역시 강화군 (2871000000)","69,681","36,353","          1.92","34,911","34,770","          1.00"
"인천광역시 옹진군 (2872000000)","19,340","12,181","          1.59","11,025","8,315","          1.33"
"광주광역시  (2900000000)","1,385,460","662,432","          2.09","683,328","702,132","          0.97"
"광주광역시 동구 (2911000000)","105,200","55,770","          1.89","51,441","53,759","          0.96"
"광주광역시 서구 (2914000000)","274,624","133,701","          2.05","134,238","140,386","          0.96"
"광주광역시 남구 (2915500000)","205,647","96,333","          2.13","98,098","107,549","          0.91"
"광주광역시 북구 (2917000000)","416,783","203,502","          2.05","205,951","210,832","          0.98"
"광주광역시 광산구 (2920000000)","383,206","173,126","          2.21","193,600","189,606","          1.02"
"대전광역시  (3000000000)","1,442,034","704,570","          2.05","718,127","723,907","          0.99"
"대전광역시 동구 (3011000000)","218,251","113,795","          1.92","109,888","108,363","          1.01"
"대전광역시 중구 (3014000000)","224,273","109,893","          2.04","109,505","114,768","          0.95"
"대전광역시 서구 (3017000000)","464,359","224,912","          2.06","227,413","236,946","          0.96"
"대전광역시 유성구 (3020000000)","371,104","174,839","          2.12","188,103","183,001","          1.03"
"대전광역시 대덕구 (3023000000)","164,047","81,131","          2.02","83,218","80,829","          1.03"
"울산광역시  (3100000000)","1,087,089","501,654","          2.17","560,549","526,540","          1.06"
"울산광역시 중구 (3111000000)","203,026","95,151","          2.13","102,582","100,444","          1.02"
"울산광역시 남구 (3114000000)","304,337","144,056","          2.11","155,882","148,455","          1.05"
"울산광역시 동구 (3117000000)","147,756","68,433","          2.16","77,387","70,369","          1.10"
"울산광역시 북구 (3120000000)","213,685","90,454","          2.36","111,316","102,369","          1.09"
"울산광역시 울주군 (3171000000)","218,285","103,560","          2.11","113,382","104,903","          1.08"
"세종특별자치시  (3600000000)","390,923","165,979","          2.36","194,731","196,192","          0.99"
"세종특별자치시  (3611000000)","390,923","165,979","          2.36","194,731","196,192","          0.99"
"경기도  (4100000000)","13,761,783","6,174,416","          2.23","6,908,300","6,853,483","          1.01"
"경기도 수원시 (4111000000)","1,185,770","545,547","          2.17","595,044","590,726","          1.01"
"경기도 수원시 장안구 (4111100000)","269,984","123,074","          2.19","135,404","134,580","          1.01"
"경기도 수원시 권선구 (4111300000)","360,286","166,505","          2.16","181,566","178,720","          1.02"
"경기도 수원시 팔달구 (4111500000)","193,401","98,991","          1.95","97,017","96,384","          1.01"
"경기도 수원시 영통구 (4111700000)","362,099","156,977","          2.31","181,057","181,042","          1.00"
"경기도 성남시 (4113000000)","902,344","409,398","          2.20","445,426","456,918","          0.97"
"경기도 성남시 수정구 (4113100000)","234,639","117,555","          2.00","118,540","116,099","          1.02"
"경기도 성남시 중원구 (4113300000)","200,064","98,763","          2.03","100,615","99,449","          1.01"
"경기도 성남시 분당구 (4113500000)","467,641","193,080","          2.42","226,271","241,370","          0.94"
"경기도 의정부시 (4115000000)","461,917","213,910","          2.16","226,550","235,367","          0.96"
"경기도 안양시 (4117000000)","562,305","240,860","          2.33","277,046","285,259","          0.97"
"경기도 안양시 만안구 (4117100000)","233,711","106,270","          2.20","116,312","117,399","          0.99"
"경기도 안양시 동안구 (4117300000)","328,594","134,590","          2.44","160,734","167,860","          0.96"
"경기도 부천시 (4119000000)","755,453","344,091","          2.20","371,693","383,760","          0.97"
"경기도 부천시 원미구 (4119200000)","382,339","174,965","          2.19","187,207","195,132","          0.96"
"경기도 부천시 소사구 (4119400000)","224,202","98,973","          2.27","109,566","114,636","          0.96"
"경기도 부천시 오정구 (4119600000)","148,912","70,153","          2.12","74,920","73,992","          1.01"
"경기도 광명시 (4121000000)","303,666","127,889","          2.37","148,648","155,018","          0.96"
"경기도 평택시 (4122000000)","619,670","299,301","          2.07","325,937","293,733","          1.11"
"경기도 송탄출장소 (4122200000)","0","0","          0.00","0","0","          0.00"
"경기도 안중출장소 (4122400000)","0","0","          0.00","0","0","          0.00"
"경기도 동두천시 (4125000000)","86,265","43,811","          1.97","42,973","43,292","          0.99"
"경기도 안산시 (4127000000)","609,240","289,171","          2.11","312,005","297,235","          1.05"
"경기도 안산시 상록구 (4127100000)","320,773","152,274","          2.11","163,776","156,997","          1.04"
"경기도 안산시 단원구 (4127300000)","288,467","136,897","          2.11","148,229","140,238","          1.06"
"경기도 고양시 (4128000000)","1,057,438","468,277","          2.26","513,999","543,439","          0.95"
"경기도 고양시 덕양구 (4128100000)","483,048","219,310","          2.20","236,436","246,612","          0.96"
"경기도 고양시 일산동구 (4128500000)","298,269","134,408","          2.22","144,435","153,834","          0.94"
"경기도 고양시 일산서구 (4128700000)","276,121","114,559","          2.41","133,128","142,993","          0.93"
"경기도 과천시 (4129000000)","80,832","29,465","          2.74","39,352","41,480","          0.95"
"경기도 구리시 (4131000000)","187,782","83,251","          2.26","92,978","94,804","          0.98"
"경기도 남양주시 (4136000000)","727,440","309,418","          2.35","359,199","368,241","          0.98"
"경기도 풍양출장소 (4136200000)","0","0","          0.00","0","0","          0.00"
"경기도 오산시 (4137000000)","253,590","117,813","          2.15","132,360","121,230","          1.09"
"경기도 시흥시 (4139000000)","514,831","231,531","          2.22","268,030","246,801","          1.09"
"경기도 군포시 (4141000000)","249,462","111,755","          2.23","123,498","125,964","          0.98"
"경기도 의왕시 (4143000000)","164,221","67,939","          2.42","81,020","83,201","          0.97"
"경기도 하남시 (4145000000)","327,495","141,063","          2.32","162,376","165,119","          0.98"
"경기도 용인시 (4146000000)","1,090,211","450,560","          2.42","540,011","550,200","          0.98"
"경기도 용인시 처인구 (4146100000)","286,391","131,514","          2.18","146,514","139,877","          1.05"
"경기도 용인시 기흥구 (4146300000)","434,590","178,012","          2.44","213,892","220,698","          0.97"
"경기도 용인시 수지구 (4146500000)","369,230","141,034","          2.62","179,605","189,625","          0.95"
"경기도 파주시 (4148000000)","533,387","237,556","          2.25","268,382","265,005","          1.01"
"경기도 이천시 (4150000000)","224,740","109,128","          2.06","117,436","107,304","          1.09"
"경기도 안성시 (4155000000)","198,785","98,812","          2.01","102,860","95,925","          1.07"
"경기도 김포시 (4157000000)","484,042","208,059","          2.33","241,341","242,701","          0.99"
"경기도 화성시 (4159000000)","998,746","433,399","          2.30","517,392","481,354","          1.07"
"경기도 화성시 만세구 (4159100000)","234,482","116,640","          2.01","127,823","106,659","          1.20"
"경기도 화성시 효행구 (4159300000)","160,481","71,748","          2.24","82,781","77,700","          1.07"
"경기도 화성시 병점구 (4159500000)","174,794","75,665","          2.31","90,433","84,361","          1.07"
"경기도 화성시 동탄구 (4159700000)","428,989","169,346","          2.53","216,355","212,634","          1.02"
"경기도 광주시 (4161000000)","399,111","177,343","          2.25","203,068","196,043","          1.04"
"경기도 양주시 (4163000000)","297,226","133,369","          2.23","149,221","148,005","          1.01"
"경기도 포천시 (4165000000)","140,468","74,361","          1.89","74,393","66,075","          1.13"
"경기도 여주시 (4167000000)","113,506","57,156","          1.99","57,902","55,604","          1.04"
"경기도 연천군 (4180000000)","42,977","22,885","          1.88","22,563","20,414","          1.11"
"경기도 가평군 (4182000000)","62,041","33,305","          1.86","31,876","30,165","          1.06"
"경기도 양평군 (4183000000)","126,822","63,993","          1.98","63,721","63,101","          1.01"
"강원특별자치도  (5100000000)","1,507,217","774,714","          1.95","758,261","748,956","          1.01"
"강원특별자치도 춘천시 (5111000000)","285,027","139,380","          2.04","140,401","144,626","          0.97"
"강원특별자치도 원주시 (5113000000)","364,811","178,430","          2.04","180,692","184,119","          0.98"
"강원특별자치도 강릉시 (5115000000)","205,666","105,804","          1.94","101,963","103,703","          0.98"
"강원특별자치도 동해시 (5117000000)","85,589","43,496","          1.97","43,362","42,227","          1.03"
"강원특별자치도 태백시 (5119000000)","36,811","20,121","          1.83","18,637","18,174","          1.03"
"강원특별자치도 속초시 (5121000000)","78,893","41,110","          1.92","38,976","39,917","          0.98"
"강원특별자치도 삼척시 (5123000000)","60,294","33,442","          1.80","30,872","29,422","          1.05"
"강원특별자치도 홍천군 (5172000000)","65,849","35,077","          1.88","33,960","31,889","          1.06"
"강원특별자치도 횡성군 (5173000000)","45,575","24,229","          1.88","23,612","21,963","          1.08"
"강원특별자치도 영월군 (5175000000)","35,714","20,780","          1.72","18,510","17,204","          1.08"
